SMILES,predicted_proxy,novelty,MW
c1ccc(-c2ccc3ccccc3c2)cc1,0.3195,0.5000,204.27
N#Cc1nc(OP(=O)(O)O)nc(-c2ccccc2)n1,0.3182,0.6829,278.16
N#Cc1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.3180,0.6667,262.17
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0.3152,0.1000,230.31
c1ccc(-c2ccccc2-c2ccccc2)cc1,0.3143,0.3846,230.31
N#Cc1cc(OP(=O)(O)O)cc(-c2ccccc2)c1,0.3122,0.6316,275.20
Cc1nc(OP(=O)(O)O)nc(-c2ccccc2)n1,0.3097,0.6579,267.18
Cc1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.3093,0.5172,248.22
Cc1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.3064,0.6364,251.18
O=S(=O)(c1ccccc1)c1ccc(O)cc1,0.3061,0.3000,234.28
O=S(=O)(O)c1ccc2ccccc2c1,0.3061,0.6087,208.24
O=S(=O)(O)c1ccccc1-c1ccccc1,0.3055,0.6522,234.28
O=S(=O)(O)c1ccc(-c2ccccc2)cc1,0.3048,0.5500,234.28
CCOP(=O)(OCC)c1ccc(-c2ccccc2)cc1,0.3033,0.2222,290.30
CCOP(=O)(OCC)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.3023,0.3333,366.40
CCOP(=O)(OCC)c1ccc(Oc2ccccc2)cc1,0.2990,0.2759,306.30
O=C(O)c1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.2990,0.5333,278.20
CCOP(=O)(OCC)c1ccc(S(=O)(=O)c2ccccc2)cc1,0.2987,0.3226,354.36
O=C(O)c1nc(OP(=O)(O)O)nc(-c2ccccc2)n1,0.2981,0.6667,297.16
O=C(O)c1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.2971,0.6471,281.16
Cc1cc(OP(=O)(O)O)cc(-c2ccccc2)c1,0.2957,0.6000,264.22
CCOP(=O)(OCC)c1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.2924,0.4706,369.36
CCOP(=O)(OCC)c1ccccc1,0.2916,0.0000,214.20
N#Cc1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.2894,0.6522,258.28
CCOP(=O)(OCC)c1cc(N)cc(-c2ccccc2)c1,0.2887,0.4286,305.31
O=C(O)c1cc(OP(=O)(O)O)cc(-c2ccccc2)c1,0.2868,0.6111,294.20
